"scientificName","redlistCategory","corallite","branching","integration","budding","family","threat"
"Acanthastrea echinata","Least Concern",25,"NB",3,"both","Lobophylliidae","Not Threatened"
"Acanthastrea minuta","Near Threatened",6.4,"NB",3,"both","Lobophylliidae","Threatened"
"Acanthastrea pachysepta","Near Threatened",32.6,"NB",3,"both","Lobophylliidae","Threatened"
"Acanthastrea subechinata","Near Threatened",12.8,"NB",3,"both","Lobophylliidae","Threatened"
"Acropora abrolhosensis","Vulnerable",1.5,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora abrotanoides","Least Concern",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora aculeus","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora acuminata","Vulnerable",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora anthocercis","Vulnerable",1.3,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora arabensis","Near Threatened",2,"LB",3,"extra","Acroporidae","Threatened"
"Acropora aspera","Vulnerable",1.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora austera","Near Threatened",1.5,"HB",3,"extra","Acroporidae","Threatened"
"Acropora awi","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora batunai","Vulnerable",0.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora bushyensis","Least Concern",1.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora carduus","Near Threatened",0.9,"HB",3,"extra","Acroporidae","Threatened"
"Acropora caroliniana","Vulnerable",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora cerealis","Least Concern",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora cervicornis","Critically Endangered",1.7,"HB",3,"extra","Acroporidae","Threatened"
"Acropora chesterfieldensis","Least Concern",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora clathrata","Least Concern",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora cytherea","Least Concern",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora dendrum","Vulnerable",1.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora derawanensis","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora desalwii","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora digitifera","Near Threatened",1.6,"LB",3,"extra","Acroporidae","Threatened"
"Acropora divaricata","Near Threatened",1.1,"LB",3,"extra","Acroporidae","Threatened"
"Acropora donei","Vulnerable",1.4,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora downingi","Least Concern",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora echinata","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora elegans","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora elseyi","Least Concern",0.9,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora florida","Near Threatened",1.4,"HB",3,"extra","Acroporidae","Threatened"
"Acropora gemmifera","Least Concern",1.6,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora glauca","Near Threatened",1.3,"LB",3,"extra","Acroporidae","Threatened"
"Acropora globiceps","Vulnerable",2.1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora grandis","Least Concern",1.7,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora granulosa","Near Threatened",0.9,"LB",3,"extra","Acroporidae","Threatened"
"Acropora halmaherae","Data Deficient",0.9,"HB",3,"extra","Acroporidae","Data Deficient"
"Acropora hemprichii","Vulnerable",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora hoeksemai","Vulnerable",1.1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora horrida","Vulnerable",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora humilis","Near Threatened",1.8,"LB",3,"extra","Acroporidae","Threatened"
"Acropora hyacinthus","Near Threatened",1.1,"LB",3,"extra","Acroporidae","Threatened"
"Acropora indonesia","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora jacquelineae","Vulnerable",0.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora japonica","Data Deficient",0.9,"LB",3,"extra","Acroporidae","Data Deficient"
"Acropora kimbeensis","Vulnerable",0.6,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora kirstyae","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora kosurini","Vulnerable",0.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora latistella","Least Concern",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora listeri","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora loisetteae","Vulnerable",1.6,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora lokani","Vulnerable",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora longicyathus","Least Concern",1.3,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora loripes","Near Threatened",1.2,"MB",3,"extra","Acroporidae","Threatened"
"Acropora lutkeni","Near Threatened",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Acropora microclados","Vulnerable",1.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora microphthalma","Least Concern",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora millepora","Near Threatened",1.6,"MB",3,"extra","Acroporidae","Threatened"
"Acropora monticulosa","Near Threatened",1.2,"LB",3,"extra","Acroporidae","Threatened"
"Acropora multiacuta","Vulnerable",2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora muricata","Near Threatened",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Acropora nana","Near Threatened",1,"MB",3,"extra","Acroporidae","Threatened"
"Acropora nasuta","Near Threatened",1.1,"MB",3,"extra","Acroporidae","Threatened"
"Acropora palmata","Critically Endangered",1.6,"HB",3,"extra","Acroporidae","Threatened"
"Acropora palmerae","Vulnerable",1.3,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora paniculata","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora papillare","Vulnerable",1.6,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora pharaonis","Vulnerable",1.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora pichoni","Near Threatened",0.9,"LB",3,"extra","Acroporidae","Threatened"
"Acropora plumosa","Vulnerable",1.2,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora polystoma","Vulnerable",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora pruinosa","Data Deficient",1.6,"MB",3,"extra","Acroporidae","Data Deficient"
"Acropora pulchra","Least Concern",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
